TABLEAU DE VIDANGE,,,IMMEUBLE YASSMINE TAWER BLOC B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARC MEDIBAT,,,N IDENTIF 0042847EAM000,,,,,,,,,,,,,,tablo de vidange PARC MEDIBAT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINS,,date,index,prochain,vidange M,DATE DERNIERE CONSULTATION,NBRE D HEURE,vidange HY,vidange BOI,F  H,F H 2,F GA,F GK,F GS,filtre a air,F S EAU,F B,F HY,F D,huile BOITE,huile HY,H 140,H ATF,H 90,HMD 40,CX 50,eau RADIAT,graisse,huile +filtre S,huile  T 316,vidange pont
,,,,VIDANGE,  MOTEUR,,,HYDROLIQU,BOITE,HUILE,HUILE,GASOIL,GASOIL,GASOIL,IN           EX,GASOIL,BOITE,HIDROLI,DECLO,BOITE,HYDROLIQU,140,,80w90,40 HMD,CX 50,RADIATEUR,ANTI + N,COMPRESSEUR,THERMIQUE,
CHARGEUSE,CH10,1/22/2025,14834,15048,120L h 40 R4,,,,,,,,,OK,OK       OK,,,,,,140Lh46 N,,,,7 L,100 L,,10KG N,,,11/03/25 60 L h CX50 PV 17172
CHARGEUSE,CH11,2/13/2025,2745,2995,53L h 40 R4,,,,,OK,,,,,OK       OK,   OK,,,,16L H CX 50,60Lh 46 N,,,,30 L,16L,,10 KG,,,
CHARGEUSE,CH12,12/19/2024,16689,16939,62L h 40 R4,,,,28L h 40 R4,OK    ,,OK,OK,OK,,,,,,,20L h 46 N,,,,35 L,,10L 50%,5KG,,,25L h CX 50
CHARGEUSE,CH13,11/25/2024,6530,6780,40L h 40 R4,,,220L S  h 46 PV 7129,20L h 40 R4 PV 7129,OK,,OK,,OK,OK        OK,   OK,OK,,,,160L h 46 N,,,,3 L,,105L eau 30%,,,,40L h 80w90 PV 7129
CHARGEUSE,CH14,3/6/2025,8690,8940,155Lh 40 R4,,,180L h46 S PV 8448,21/02/25 80 L h46 S,,,,,,OK        OK,,OK,OK,,,,,,,,,,25 KG N,,,
PELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELLE,P1,2/7/2025,         P,        P,70L h 40 R4,,,,,OK,,OK,,,OK       OK,    OK,,,,,400L h46 N,20 L,,,42 L,,80 L  4S,,,,
PELLE,P2,10/14/2024,16379,16629,40L h40 R4,,,20/12/24 220L h46 N PV 81092,,OK,,OK,,,OK       OK,,,,,,160L h 46 N,,,,42 L,,50 L  4S,,,,
PELLE,P3,11/13/2024,14162,14412,40L h40 R4,,,,,,,,,,,,,,,,,,,9 L,,,,10 KG N,,,
PELLE,P4,3/24/2025,12109,12359,120L h 40 cat,,,,,,,OK,,,OK       OK,,,,,,20L h 46 N,,,,10 L,,,5 KG N,,,
