 Machine / Référence,Type de Fluide,Fluide Recommandé, Fluide Utilisé,Conformité
,Transmission,SAE 80W-90 ou 85W-140 GL-5,S2 G90 (Spirax), Conforme
,Hydraulique,ISO VG 46 ou 68,HI-draulic 46, Conforme
,Engrenage,SAE 80W-90 GL-5,GEAR MB 80W, Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse NLGI Grade 2,Graisse Titanium HT, Conforme
,Antigel,Antigel longue durée + eau,WG30 + eau distillée, Conforme
Finisseur VÖGELE SUPER 1900,Huile moteur,SAE 15W-40,HI-POWER 15W40, Conforme
,Transmission,SAE 80W-90 ou 85W-140 GL-5,S2 G90 (Spirax), Conforme
,Hydraulique,ISO VG 46 ou 68,HI-draulic 46, Conforme
,Engrenage,SAE 80W-90 ou 85W-140 GL-5,GEAR MB 80W, Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse NLGI Grade 2,Graisse Titanium HT, Conforme
,Antigel,Antigel longue durée + eau,WG30 + eau distillée, Conforme
Autobétonnière FIORI BF09B,Huile moteur,SAE 15W-40,HI-POWER 15W40, Conforme
,Transmission,SAE 10W ou 30,UTTO 80W/10W-30,Partielle
,Hydraulique,ISO VG 46,HI-draulic 46, Conforme
,Carburant,Diesel EN 590,Diesel EN 590, Conforme
,Graissage,Graisse NLGI Grade 2,Graisse Calcique,Partielle
,Antigel,Antigel longue durée + eau,WG30 + eau distillée, Conforme
